Date,Department,Expense Type,Project,Amount (USD),Quantity,Vendor
2024-02-18,Operations,Maintenance,Project B,6557,,VendorZ
2024-01-09,Exploration,Maintenance,Project B,8036,3.0,VendorY
2024-11-14,Finance,Maintenance,Project A,8984,10.0,
2024-08-22,Operations,Salaries,Project C,3123,1.0,VendorZ
2024-08-14,Operations,Maintenance,Project B,8213,,VendorZ
2024-12-30,Finance,Salaries,Project A,1744,,VendorZ
2024-01-12,Exploration,Equipment,Project B,4086,,
2024-08-05,Operations,Salaries,Project A,2350,13.0,
2024-08-01,Operations,Utilities,Project C,4141,,
2024-08-22,Operations,Utilities,Project C,2133,,VendorY
2024-08-23,Finance,Salaries,Project A,8597,,
2024-01-02,Finance,Equipment,Project A,9952,,
2024-05-18,Operations,Maintenance,Project B,8302,,VendorY
2024-03-18,Exploration,Utilities,Project B,3635,4.0,VendorY
2024-06-25,Exploration,Maintenance,Project C,7182,13.0,
2024-05-04,Exploration,Utilities,Project A,2766,,VendorZ
2024-08-26,Operations,Utilities,Project A,6998,,VendorY
2024-05-05,Exploration,Maintenance,Project B,1951,,VendorX
2024-11-04,Finance,Equipment,Project C,1560,10.0,
2024-04-06,Operations,Salaries,Project A,7216,5.0,
2024-03-17,Operations,Equipment,Project A,9904,,VendorX
2024-01-01,Exploration,Equipment,Project C,8326,11.0,VendorX
2024-01-06,Operations,Equipment,Project B,2154,,
2024-10-09,Operations,Utilities,Project A,1142,,
2024-10-02,Finance,Utilities,Project B,3053,,
2024-07-03,Finance,Equipment,Project C,7509,,VendorY
2024-06-14,Exploration,Utilities,Project C,4114,17.0,
2024-04-18,Operations,Maintenance,Project C,4509,,VendorY
2024-08-11,Finance,Equipment,Project A,7344,,VendorX
2024-10-21,Operations,Salaries,Project C,9708,,
2024-05-06,Exploration,Maintenance,Project C,6534,,VendorZ
2024-08-15,Finance,Maintenance,Project C,2906,7.0,VendorX
2024-06-24,Exploration,Equipment,Project A,2325,2.0,
2024-03-04,Finance,Equipment,Project C,5320,12.0,VendorZ
2024-11-09,Operations,Salaries,Project B,4947,,
2024-02-20,Operations,Equipment,Project B,2425,18.0,VendorY
2024-03-08,Finance,Salaries,Project C,3106,,
2024-11-19,Operations,Utilities,Project C,8156,9.0,VendorY
2024-07-25,Exploration,Salaries,Project A,7835,,
2024-10-12,Finance,Salaries,Project C,8477,,VendorZ
2024-05-06,Exploration,Utilities,Project B,1692,14.0,
2024-12-27,Exploration,Utilities,Project A,9064,,VendorX
2024-12-18,Operations,Maintenance,Project B,2331,,
2024-04-05,Operations,Maintenance,Project B,2577,3.0,VendorX
2024-06-07,Exploration,Equipment,Project A,1110,,
2024-11-17,Operations,Equipment,Project B,8858,,
2024-08-14,Finance,Salaries,Project A,5220,,VendorZ
2024-07-17,Finance,Maintenance,Project C,5390,,
2024-05-07,Operations,Salaries,Project C,3123,,
2024-03-09,Finance,Equipment,Project C,1670,14.0,VendorX
2024-08-26,Exploration,Utilities,Project B,4322,17.0,VendorX
2024-07-09,Operations,Equipment,Project A,6339,13.0,VendorZ
2024-08-08,Finance,Maintenance,Project A,2439,17.0,VendorX
2024-12-21,Exploration,Maintenance,Project A,7808,6.0,
2024-08-03,Exploration,Utilities,Project A,1036,4.0,
2024-03-04,Operations,Maintenance,Project B,2807,,VendorY
2024-03-24,Exploration,Salaries,Project A,7483,,
2024-05-05,Exploration,Maintenance,Project C,3539,14.0,VendorY
2024-07-03,Operations,Salaries,Project C,6029,8.0,
2024-06-11,Exploration,Salaries,Project C,3254,,
2024-02-11,Finance,Utilities,Project B,9725,8.0,
2024-01-24,Finance,Salaries,Project B,5107,15.0,
2024-07-21,Exploration,Maintenance,Project B,1193,,VendorX
2024-11-02,Exploration,Utilities,Project B,3447,17.0,
2024-01-28,Operations,Utilities,Project A,4981,2.0,VendorZ
2024-04-20,Exploration,Utilities,Project B,7646,,
2024-06-14,Exploration,Salaries,Project B,3078,,VendorX
2024-04-16,Operations,Salaries,Project B,9687,,
2024-03-03,Operations,Maintenance,Project A,1341,11.0,VendorZ
2024-10-08,Exploration,Maintenance,Project A,5387,,
2024-05-24,Operations,Salaries,Project C,4382,,
2024-02-19,Exploration,Salaries,Project C,6854,,
2024-04-08,Finance,Utilities,Project C,2125,,VendorZ
2024-11-24,Operations,Salaries,Project C,2088,8.0,VendorZ
2024-07-05,Finance,Salaries,Project B,2454,,
2024-12-01,Finance,Salaries,Project B,2234,,VendorX
2024-07-22,Operations,Equipment,Project B,2356,20.0,VendorX
2024-12-03,Exploration,Utilities,Project A,8031,8.0,
2024-07-19,Exploration,Salaries,Project B,6342,,
2024-04-21,Exploration,Salaries,Project A,5443,,VendorX
2024-03-04,Finance,Maintenance,Project B,3198,,
2024-10-19,Operations,Salaries,Project A,9784,,
2024-12-30,Finance,Salaries,Project C,6035,,
2024-07-20,Exploration,Utilities,Project B,4438,17.0,VendorX
2024-02-27,Finance,Salaries,Project A,2933,18.0,
2024-02-11,Finance,Maintenance,Project A,3114,,VendorZ
2024-11-27,Exploration,Equipment,Project A,4762,,
2024-08-01,Operations,Equipment,Project C,8935,12.0,VendorX
2024-10-27,Exploration,Utilities,Project C,1372,1.0,
2024-10-27,Finance,Salaries,Project C,4254,,
2024-04-13,Exploration,Salaries,Project C,5996,,
2024-03-02,Exploration,Utilities,Project A,4115,,VendorX
2024-12-08,Operations,Utilities,Project C,6679,,
2024-06-30,Exploration,Maintenance,Project B,3936,3.0,
2024-05-03,Exploration,Maintenance,Project B,6568,9.0,
2024-08-21,Finance,Utilities,Project B,8579,,
2024-04-10,Operations,Utilities,Project C,2295,20.0,VendorX
2024-11-11,Exploration,Utilities,Project B,7573,,VendorX
2024-05-23,Operations,Utilities,Project C,3857,8.0,
2024-07-11,Finance,Utilities,Project C,8182,5.0,VendorZ
2024-08-26,Finance,Salaries,Project A,2490,7.0,VendorY
2024-04-02,Operations,Utilities,Project B,9274,,
2024-04-13,Operations,Maintenance,Project C,9168,18.0,
2024-06-09,Finance,Maintenance,Project B,8886,,VendorX
2024-06-08,Finance,Maintenance,Project A,2304,13.0,
2024-08-16,Operations,Salaries,Project C,1396,16.0,VendorZ
2024-09-21,Operations,Salaries,Project A,3714,16.0,
2024-02-17,Operations,Equipment,Project A,4584,,
2024-07-28,Finance,Salaries,Project C,3159,12.0,VendorX
2024-12-13,Operations,Maintenance,Project B,3078,3.0,
2024-08-14,Finance,Maintenance,Project A,3124,,
2024-11-05,Exploration,Equipment,Project B,2016,10.0,
2024-02-19,Finance,Maintenance,Project C,7552,13.0,
2024-05-15,Exploration,Maintenance,Project A,7943,9.0,
2024-01-02,Operations,Salaries,Project A,9004,,VendorY
2024-12-26,Exploration,Equipment,Project A,6252,,
2024-11-15,Finance,Utilities,Project C,9680,12.0,VendorY
2024-04-24,Operations,Equipment,Project B,6431,2.0,
2024-07-02,Exploration,Utilities,Project B,9438,14.0,
2024-03-11,Finance,Salaries,Project C,5516,6.0,
2024-01-14,Finance,Utilities,Project B,9473,,
2024-09-08,Operations,Maintenance,Project A,1232,,
2024-09-09,Finance,Equipment,Project C,9468,11.0,
2024-07-14,Exploration,Salaries,Project A,5986,9.0,VendorX
2024-05-31,Finance,Utilities,Project C,5313,20.0,
2024-09-23,Exploration,Salaries,Project C,5763,,
2024-01-09,Finance,Maintenance,Project B,6855,,
2024-09-21,Operations,Equipment,Project C,4197,20.0,VendorX
2024-01-18,Operations,Equipment,Project C,8497,13.0,
2024-09-10,Operations,Equipment,Project B,1567,,VendorY
2024-09-24,Exploration,Utilities,Project B,1482,7.0,VendorZ
2024-08-10,Exploration,Maintenance,Project A,9788,4.0,VendorX
2024-07-08,Exploration,Maintenance,Project A,9827,,
2024-08-26,Operations,Equipment,Project B,2340,,
2024-04-24,Finance,Maintenance,Project A,1401,14.0,
2024-02-20,Finance,Equipment,Project C,1285,5.0,VendorY
2024-05-05,Exploration,Maintenance,Project A,9662,,VendorZ
2024-11-16,Operations,Salaries,Project B,2179,,
2024-08-06,Exploration,Utilities,Project A,4785,18.0,
2024-10-26,Exploration,Utilities,Project C,7435,,
2024-04-27,Operations,Utilities,Project B,5581,,
2024-10-23,Operations,Utilities,Project A,3940,,VendorZ
2024-02-13,Exploration,Salaries,Project C,8067,3.0,
2024-10-28,Finance,Salaries,Project C,7824,,
2024-12-07,Exploration,Maintenance,Project B,2094,,
2024-03-17,Exploration,Maintenance,Project A,5683,20.0,
2024-08-08,Finance,Equipment,Project C,8329,,
2024-05-13,Finance,Equipment,Project B,4344,,VendorZ
2024-07-06,Operations,Maintenance,Project A,4757,18.0,
2024-03-07,Operations,Salaries,Project C,8332,,VendorY
2024-05-19,Exploration,Maintenance,Project A,8750,,VendorX
2024-06-14,Exploration,Equipment,Project C,8643,,VendorX
