Transaction ID,Transaction Date,Department,Expense Type,Project,Vendor,Amount (USD),Quantity,Employee Name,Employee Department,Employee Position,Employee Salary (USD)
1,2024-07-06,Finance,Maintenance,Project Alpha,Vendor C,3913,19,Employee 1,Logistics,Administrator,111158
2,2023-02-11,Exploration,Equipment,Project Beta,Vendor B,9936,19,Employee 2,HR,Administrator,102296
3,2021-02-04,Finance,Utilities,Project Alpha,Vendor A,9799,10,Employee 3,Finance,Manager,83017
4,2024-05-02,Operations,Maintenance,Project Gamma,Vendor A,8307,19,Employee 4,HR,Administrator,55997
5,2021-04-28,Logistics,Maintenance,Project Beta,Vendor C,5027,14,Employee 5,Finance,Engineer,73267
6,2022-12-08,Exploration,Maintenance,Project Beta,Vendor C,284,2,Employee 6,Operations,Administrator,45416
7,2024-05-06,Exploration,Maintenance,Project Alpha,Vendor C,3107,4,Employee 7,Logistics,Administrator,94003
8,2024-02-23,HR,Research,Project Gamma,Vendor C,5952,7,Employee 8,Operations,Manager,98089
9,2024-04-25,Exploration,Equipment,Project Alpha,Vendor A,5078,7,Employee 9,Exploration,Engineer,96915
10,2023-07-04,HR,Research,Project Beta,Vendor A,5078,6,Employee 10,Exploration,Administrator,34664
11,2021-04-18,Exploration,Salaries,Project Beta,Vendor A,1263,9,Employee 11,Exploration,Technician,34490
12,2022-01-16,HR,Maintenance,Project Gamma,Vendor A,6637,3,Employee 12,Operations,Manager,43590
13,2021-12-13,Exploration,Equipment,Project Alpha,Vendor B,3318,4,Employee 13,Operations,Technician,115290
14,2022-03-04,Exploration,Utilities,Project Gamma,Vendor B,3214,17,Employee 14,HR,Engineer,47284
15,2024-11-08,Finance,Research,Project Alpha,Vendor C,9409,13,Employee 15,Operations,Administrator,83655
16,2024-01-12,Logistics,Research,Project Gamma,Vendor B,8688,11,Employee 16,HR,Engineer,85211
17,2023-04-16,HR,Utilities,Project Beta,Vendor C,7052,16,Employee 17,Operations,Technician,81346
18,2023-09-17,HR,Utilities,Project Alpha,Vendor A,1201,19,Employee 18,Logistics,Manager,36743
19,2021-11-23,Operations,Equipment,Project Alpha,Vendor C,6882,12,Employee 19,Logistics,Manager,54584
20,2021-08-01,Exploration,Research,Project Beta,Vendor C,2641,3,Employee 20,Operations,Technician,96915
21,2022-10-31,Logistics,Maintenance,Project Alpha,Vendor C,7763,13,Employee 21,Operations,Administrator,62582
22,2023-12-31,Logistics,Research,Project Beta,Vendor A,6896,20,Employee 22,Logistics,Technician,72690
23,2021-02-23,Finance,Equipment,Project Gamma,Vendor B,8206,1,Employee 23,Logistics,Engineer,34068
24,2023-04-02,Exploration,Equipment,Project Gamma,Vendor B,3476,10,Employee 24,HR,Engineer,33988
25,2024-02-11,Exploration,Salaries,Project Alpha,Vendor C,8469,4,Employee 25,Exploration,Technician,82027
26,2021-02-22,Operations,Research,Project Alpha,Vendor C,3497,5,Employee 26,HR,Technician,108242
27,2024-06-07,Finance,Research,Project Beta,Vendor B,1581,17,Employee 27,Operations,Manager,93229
28,2021-09-14,Logistics,Research,Project Gamma,Vendor A,9481,18,Employee 28,Logistics,Engineer,43879
